Hosp_Name,Hosp_ID,Hosp_Address,City,State,Action,DT_Action
Allegheny General Hospital,117,320 East North Avenue,Pittsburgh,PA,Closure Notice,2022-02
Alta Bates Summit Medical Center Alta Bates Campus,187,2450 Ashby Street,Berkeley,CA,Warning Notice,2023-02
Alta Bates Summit Medical Center Alta Bates Campus,187,2450 Ashby Street,Berkeley,CA,Closure Notice,2023-06
Alta Vista Regional Hospital,5620,104 Legion Drive,Las Vegas,NM,Warning Notice,2022-07
Alta Vista Regional Hospital,5620,104 Legion Drive,Las Vegas,NM,CAP Request,2023-04
Alta Vista Regional Hospital,5620,104 Legion Drive,Las Vegas,NM,Closure Notice,2023-11
Alvarado Hospital Medical Center,198,6655 Alvarado Road,San Diego,CA,Warning Notice,2021-04
Alvarado Hospital Medical Center,198,6655 Alvarado Road,San Diego,CA,Closure Notice,2021-07
Amberwell Atchison,352,800 Raven Hill Drive,Atchison,KS,Warning Notice,2023-05
Amberwell Atchison,352,800 Raven Hill Drive,Atchison,KS,Closure Notice,2023-08
AMG Physical Rehabilitation Hospital - Covington,1530,"5025 Keystone Blvd, Suite 200",Covington,LA,Warning Notice,2022-11
AMG Physical Rehabilitation Hospital - Covington,1530,"5025 Keystone Blvd, Suite 200",Covington,LA,CAP Request,2023-03
AMG Physical Rehabilitation Hospital - Covington,1530,"5025 Keystone Blvd, Suite 200",Covington,LA,Closure Notice,2023-05
AMG Specialty Hospital - Central Indiana Muncie Campus,1061,2401 W University Ave ,Muncie,IN,Warning Notice,2022-11
AMG Specialty Hospital - Central Indiana Muncie Campus,1061,2401 W University Ave ,Muncie,IN,CAP Request,2023-04
AMG Specialty Hospital - Central Indiana Muncie Campus,1061,2401 W University Ave ,Muncie,IN,Closure Notice,2023-05
AMG Specialty Hospital - Edmond,1830,1100 East Ninth Street,Edmond,OK,Met Requirements,2023-04
AMG Specialty Hospital - Houma,2787,629 Dunn Street,Houma,LA,Warning Notice,2022-11
AMG Specialty Hospital - Houma,2787,629 Dunn Street,Houma,LA,CAP Request,2023-03
AMG Specialty Hospital - Houma,2787,629 Dunn Street,Houma,LA,Closure Notice,2023-04
AMG Specialty Hospital - Lafayette,3288,4811 Ambassador Caffery Parkway,Lafayette,LA,Warning Notice,2022-12
AMG Specialty Hospital - Lafayette,3288,4811 Ambassador Caffery Parkway,Lafayette,LA,CAP Request,2023-04
AMG Specialty Hospital - Lafayette,3288,4811 Ambassador Caffery Parkway,Lafayette,LA,Closure Notice,2023-10
AMG Specialty Hospital - Las Vegas,3378,4015 McLeod Drive,Las Vegas,NV,Warning Notice,2022-11
AMG Specialty Hospital - Las Vegas,3378,4015 McLeod Drive,Las Vegas,NV,CAP Request,2023-03
AMG Specialty Hospital - Las Vegas,3378,4015 McLeod Drive,Las Vegas,NV,Closure Notice,2023-04
AMG Specialty Hospital - Oklahoma City,4672,"4300 West Memorial Road, 2nd Fl.",Oklahoma City,OK,Warning Notice,2022-11
AMG Specialty Hospital - Oklahoma City,4672,"4300 West Memorial Road, 2nd Fl.",Oklahoma City,OK,CAP Request,2023-03
AMG Specialty Hospital - Oklahoma City,4672,"4300 West Memorial Road, 2nd Fl.",Oklahoma City,OK,Closure Notice,2023-04
AMG Specialty Hospital - Zachary,7596,4601 McHugh Road,Zachary,LA,Warning Notice,2022-11
AMG Specialty Hospital - Zachary,7596,4601 McHugh Road,Zachary,LA,CAP Request,2023-03
AMG Specialty Hospital - Zachary,7596,4601 McHugh Road,Zachary,LA,Closure Notice,2023-05
AMG Specialty Hospital Albuquerque,2523,5400 Gibson Boulevard SE,Albuquerque,NM,Warning Notice,2022-11
AMG Specialty Hospital Albuquerque,2523,5400 Gibson Boulevard SE,Albuquerque,NM,CAP Request,2023-03
AMG Specialty Hospital Albuquerque,2523,5400 Gibson Boulevard SE,Albuquerque,NM,Closure Notice,2023-05
Anaheim Global Medical Center,206,1025 South Anaheim Blvd,Anaheim,CA,Warning Notice,2023-03
Anaheim Global Medical Center,206,1025 South Anaheim Blvd,Anaheim,CA,CAP Request,2023-07
Anaheim Global Medical Center,206,1025 South Anaheim Blvd,Anaheim,CA,Closure Notice,2023-10
Anchor Hospital,7614,5454 Yorktowne Drive,Atlanta,GA,Warning Notice,2023-05
Anchor Hospital,7614,5454 Yorktowne Drive,Atlanta,GA,CAP Request,2023-09
Anchor Hospital,7614,5454 Yorktowne Drive,Atlanta,GA,Closure Notice,2023-10
Anderson County Hospital,210,421 South Maple Street,Garnett,KS,Warning Notice,2023-02
Anderson County Hospital,210,421 South Maple Street,Garnett,KS,Closure Notice,2023-08
Angel Medical Center,215,124 One Center Court,Franklin,NC,Warning Notice,2023-06
Angel Medical Center,215,124 One Center Court,Franklin,NC,Closure Notice,2023-09
Animas Surgical Hospital,216,575 Rivergate Lane,Durango,CO,Warning Notice,2022-12
Animas Surgical Hospital,216,575 Rivergate Lane,Durango,CO,Closure Notice,2023-04
Anna Jaques Hospital,224,25 Highland Avenue,Newburyport,MA,Warning Notice,2021-05
Anna Jaques Hospital,224,25 Highland Avenue,Newburyport,MA,CAP Request,2021-10
Anna Jaques Hospital,224,25 Highland Avenue,Newburyport,MA,Closure Notice,2022-02
Anson General Hospital,228,101 Avenue J,Anson,TX,Warning Notice,2023-03
Anson General Hospital,228,101 Avenue J,Anson,TX,CAP Request,2023-07
Anson General Hospital,228,101 Avenue J,Anson,TX,Closure Notice,2023-10
Arbor Health Morton Hospital,237,521 Adams Avenue,Morton,WA,Warning Notice,2022-12
Arbor Health Morton Hospital,237,521 Adams Avenue,Morton,WA,Closure Notice,2023-04
Archbold Medical Center,2995,915 Gordon Avenue,Thomasville,GA,Warning Notice,2022-12
Archbold Medical Center,2995,915 Gordon Avenue,Thomasville,GA,CAP Request,2023-04
Archbold Medical Center,2995,915 Gordon Avenue,Thomasville,GA,Closure Notice,2023-05
Arise Austin Medical Center,245,3003 Bee Caves Road,Austin,TX,Warning Notice,2021-09
Arise Austin Medical Center,245,3003 Bee Caves Road,Austin,TX,CAP Request,2022-07
Arise Austin Medical Center,245,3003 Bee Caves Road,Austin,TX,Closure Notice,2022-09
Arizona Spine & Joint Hospital,246,4620 E. Baseline Road,Mesa,AZ,Warning Notice,2022-12
Arizona Spine & Joint Hospital,246,4620 E. Baseline Road,Mesa,AZ,Closure Notice,2023-03
Arkansas Heart Hospital,254,1701 South Shackleford Road,Little Rock,AR,Warning Notice,2021-05
Arkansas Heart Hospital,254,1701 South Shackleford Road,Little Rock,AR,CAP Request,2021-10
Arkansas Heart Hospital,254,1701 South Shackleford Road,Little Rock,AR,Closure Notice,2022-05
Arkansas Surgical Hospital,257,5201 North Shore Drive,North Little Rock,AR,Warning Notice,2021-12
Arkansas Surgical Hospital,257,5201 North Shore Drive,North Little Rock,AR,Closure Notice,2022-03
Arnot Ogden Medical Center,262,600 Roe Ave,Elmira,NY,Met Requirements,2022-12
Arnot Ogden Medical Center,262,600 Roe Ave,Elmira,NY,Met Requirements,2023-12
Arrowhead Regional Medical Center,266,400 N. Pepper Avenue,Colton,CA,Met Requirements,2023-03
Asante Three Rivers Medical Center,270,500 Sw Ramsey Avenue,Grants Pass,OR,Warning Notice,2023-05
Asante Three Rivers Medical Center,270,500 Sw Ramsey Avenue,Grants Pass,OR,CAP Request,2023-09
Asante Three Rivers Medical Center,270,500 Sw Ramsey Avenue,Grants Pass,OR,Closure Notice,2023-12
Ascension Borgess Hospital,272,1521 Gull Road,Kalamazoo,MI,Met Requirements,2022-11
Ascension Columbia St Marys Hospital Milwaukee,277,2323 N Lake Dr,Milwaukee,WI,Met Requirements,2022-11
Ascension Genesys Hospital,281,1 Genesys Pkwy,Grand Blanc,MI,Warning Notice,2023-05
Ascension Genesys Hospital,281,1 Genesys Pkwy,Grand Blanc,MI,Closure Notice,2023-08
Ascension Providence - Waco,288,6901 Medical Parkway,Waco,TX,Warning Notice,2022-11
Ascension Providence - Waco,288,6901 Medical Parkway,Waco,TX,Closure Notice,2023-03
Ascension Providence Hospital - Novi Campus,5141,47601 Grand River Ave,Novi,MI,Met Requirements,2022-11
Ascension Providence Hospital - Southfield Campus,289,16001 W Nine Mile Rd,Southfield,MI,Met Requirements,2022-11
Ascension Sacred Heart Bay,558,615 N Bonita Ave,Panama City,FL,Warning Notice,2022-11
Ascension Sacred Heart Bay,558,615 N Bonita Ave,Panama City,FL,Closure Notice,2023-03
Ascension Sacred Heart Gulf,5483,3801 US Hwy 98,Port Saint Joe,FL,Met Requirements,2022-11
Ascension Sacred Heart Pensacola Hospital,293,5151 North 9th Avenue,Pensacola,FL,Met Requirements,2022-11
Ascension Saint Francis in Evanston,5094,355 Ridge Ave,Evanston,IL,Warning Notice,2022-11
Ascension Saint Francis in Evanston,5094,355 Ridge Ave,Evanston,IL,Closure Notice,2023-03
Ascension Saint Mary - Kankakee,7637,500 West Court St,Kankakee,IL,Met Requirements,2023-06
Ascension Saint Thomas Dekalb,5559,520 West Main Street,Smithville,TN,Met Requirements,2022-11
Ascension Saint Thomas Hickman,5560,135 East Swan Street,Centerville,TN,Met Requirements,2022-11
Ascension Saint Thomas Highlands Hospital,5561,401 Sewell Drive,Sparta,TN,Met Requirements,2022-11
Ascension Saint Thomas Highlands Hospital,5561,401 Sewell Drive,Sparta,TN,Met Requirements,2023-06
Ascension Saint Thomas Midtown Hospital,5563,2000 Church Street,Nashville,TN,Met Requirements,2022-11
Ascension Saint Thomas River Park,5564,1559 Sparta Street,McMinnville,TN,Met Requirements,2022-11
Ascension Saint Thomas River Park,5564,1559 Sparta Street,McMinnville,TN,Met Requirements,2023-05
Ascension Saint Thomas Rutherford,5565,1700 Medical Center Parkway,Murfreesboro,TN,Met Requirements,2023-02
Ascension Saint Thomas Stones River,5566,324 Doolittle Road,Woodbury,TN,Met Requirements,2022-11
Ascension Saint Thomas West,5567,4220 Harding Road,Nashville,TN,Met Requirements,2022-11
Ascension Saint Vincent Women's Hospital,7629,8111 Township Line Rd,Indianapolis ,IN,CAP Request,2023-06
Ascension Saint Vincent Women's Hospital,7629,8111 Township Line Rd,Indianapolis ,IN,Closure Notice,2023-08
Ascension Saint Vincent's Chilton,6314,2030 Lay Dam Road,Clanton,AL,Warning Notice,2022-11
Ascension Saint Vincent's Chilton,6314,2030 Lay Dam Road,Clanton,AL,CAP Request,2023-03
Ascension Saint Vincent's Chilton,6314,2030 Lay Dam Road,Clanton,AL,Closure Notice,2023-04
Ascension Saint Vincent's St. Clair,6445,7063 Veterans Parkway,Pell City,AL,Warning Notice,2022-11
Ascension Saint Vincent's St. Clair,6445,7063 Veterans Parkway,Pell City,AL,Closure Notice,2023-05
Ascension Seton Bastrop,7645,630 Hwy 71 W,Bastrop,TX,Met Requirements,2023-05
Ascension Seton Highland Lakes,299,3201 S Water Street,Burnet,TX,Met Requirements,2022-11
Ascension Seton Medical Center Austin,300,1201 West 38th Street,Austin,TX,Met Requirements,2021-01
Ascension St Joseph Hospital,309,200 Hemlock,Tawas City,MI,Met Requirements,2022-11
Ascension St. John Hospital ,308,22101 Moross Rd,Detroit,MI,Met Requirements,2023-06
Ascension St. John Owasso,6360,12451 East 100th Street North,Owasso,OK,Met Requirements,2023-04
Ascension St. Vincent Kokomo,6306,1907 W Sycamore St,Kokomo,IN,Warning Notice,2022-12
Ascension St. Vincent Kokomo,6306,1907 W Sycamore St,Kokomo,IN,Closure Notice,2023-04
Ascension St. Vincent Seton Specialty Hospital,6311,8050 Township Line Rd,Indianapolis,IN,Warning Notice,2022-11
Ascension St. Vincent Seton Specialty Hospital,6311,8050 Township Line Rd,Indianapolis,IN,CAP Request,2023-03
Ascension St. Vincent Seton Specialty Hospital,6311,8050 Township Line Rd,Indianapolis,IN,Closure Notice,2023-04
Ascension St. Vincent's Birmingham,6441,810 Saint Vincent's Drive,Birmingham,AL,Warning Notice,2022-11
Ascension St. Vincent's Birmingham,6441,810 Saint Vincent's Drive,Birmingham,AL,CAP Request,2023-03
Ascension St. Vincent's Birmingham,6441,810 Saint Vincent's Drive,Birmingham,AL,Closure Notice,2023-04
Ascension St. Vincent's Blount,6442,150 Gilbreath Drive,Oneonta,AL,Warning Notice,2022-12
Ascension St. Vincent's Blount,6442,150 Gilbreath Drive,Oneonta,AL,CAP Request,2023-03
Ascension St. Vincent's Blount,6442,150 Gilbreath Drive,Oneonta,AL,Closure Notice,2023-04
Ascension St. Vincent's East,6443,50 Medical Park East Drive,Birmingham,AL,Warning Notice,2022-11
Ascension St. Vincent's East,6443,50 Medical Park East Drive,Birmingham,AL,CAP Request,2023-03
Ascension St. Vincent's East,6443,50 Medical Park East Drive,Birmingham,AL,Closure Notice,2023-04
Ascension St. Vincent's Medical Center Clay County,342,1670 St. Vincent's Way,Middleburg,FL,Met Requirements,2022-11
Ascension St. Vincent's Riverside Hospital,340,1 Shircliff Way,Jacksonville,FL,Warning Notice,2022-11
Ascension St. Vincent's Riverside Hospital,340,1 Shircliff Way,Jacksonville,FL,Closure Notice,2023-05
Ascension St. Vincent's Southside Hospital,341,4201 Belfort Rd,Jacksonville,FL,Warning Notice,2022-11
Ascension St. Vincent's Southside Hospital,341,4201 Belfort Rd,Jacksonville,FL,Closure Notice,2023-05
Ascension Standish Hospital,313,805 West Cedar St,Standish,MI,Met Requirements,2023-04
Ascension Via Christi St. Francis,317,929 North St Francis Street,Wichita,KS,Met Requirements,2022-11
Ascension Via Christi St. Joseph,315,3600 E Harry St,Wichita,KS,CAP Request,2023-08
Ascension Via Christi St. Joseph,315,3600 E Harry St,Wichita,KS,Closure Notice,2023-09
Ascension Via Christi St. Teresa,316,14800 Saint Teresa St,Wichita,KS,Met Requirements,2023-05
Asheville Specialty Hospital,320,428 Biltmore Ave,Asheville,NC,Warning Notice,2023-06
Asheville Specialty Hospital,320,428 Biltmore Ave,Asheville,NC,Closure Notice,2023-10
Ashland Health Center,322,625 S Kentucky Street,Ashland,KS,Warning Notice,2023-02
Ashland Health Center,322,625 S Kentucky Street,Ashland,KS,Closure Notice,2023-06
Ashley County Medical Center,323,1015 Unity Road,Crossett,AR,Warning Notice,2021-12
Ashley County Medical Center,323,1015 Unity Road,Crossett,AR,Closure Notice,2022-11
Ashley Regional Medical Center ,325,150 West 100 North,Vernal,UT,Warning Notice,2023-05
Ashley Regional Medical Center ,325,150 West 100 North,Vernal,UT,CAP Request,2023-08
Ashley Regional Medical Center ,325,150 West 100 North,Vernal,UT,Closure Notice,2023-10
Aspen Valley Hospital,329,401 Castle Creek Road,Aspen,CO,Warning Notice,2021-05
Aspen Valley Hospital,329,401 Castle Creek Road,Aspen,CO,CAP Request,2021-10
Aspen Valley Hospital,329,401 Castle Creek Road,Aspen,CO,Closure Notice,2022-01
Aspirus Wausau Hospital,339,333 Pine Ridge Blvd,Wausau,WI,Warning Notice,2021-05
Aspirus Wausau Hospital,339,333 Pine Ridge Blvd,Wausau,WI,CAP Request,2021-10
Aspirus Wausau Hospital,339,333 Pine Ridge Blvd,Wausau,WI,Closure Notice,2022-02
Atlanticare Regional Medical Center - Atlantic City Campus,358,1925 Pacific Avenue,Atlantic City,NJ,Warning Notice,2021-04
Atlanticare Regional Medical Center - Atlantic City Campus,358,1925 Pacific Avenue,Atlantic City,NJ,CAP Request,2021-09
Atlanticare Regional Medical Center - Atlantic City Campus,358,1925 Pacific Avenue,Atlantic City,NJ,Closure Notice,2023-10
Atlanticare Regional Medical Center - Mainland Division,359,65 W. Jimmie Leeds Road,Pomona,NJ,Warning Notice,2021-10
Atlanticare Regional Medical Center - Mainland Division,359,65 W. Jimmie Leeds Road,Pomona,NJ,Closure Notice,2023-10
Atrium Health Floyd Cherokee Medical Center,2135,400 Northwood Drive,Centre,AL,Warning Notice,2023-05
Atrium Health Floyd Cherokee Medical Center,2135,400 Northwood Drive,Centre,AL,Closure Notice,2023-09
Atrium Health Floyd Medical Center,2137,304 Turner Mccall Boulevard,Rome,GA,Met Requirements,2023-12
Atrium Health University City,369,8800 North Tryon Street,Charlotte,NC,Warning Notice,2021-05
Atrium Health University City,369,8800 North Tryon Street,Charlotte,NC,CAP Request,2021-10
Atrium Health University City,369,8800 North Tryon Street,Charlotte,NC,Closure Notice,2021-12
Atrium Health Wake Forest Baptist - High Point Medical Center,2647,601 North Elm Street,High Point,NC,Warning Notice,2023-03
Atrium Health Wake Forest Baptist - High Point Medical Center,2647,601 North Elm Street,High Point,NC,Closure Notice,2023-06
Auburn Community Hospital,374,17 Lansing St,Auburn,NY,Warning Notice,2021-08
Auburn Community Hospital,374,17 Lansing St,Auburn,NY,Closure Notice,2022-01
Aurora BayCare Medical Center,381,2845 Greenbrier Road,Green Bay,WI,Met Requirements,2023-05
Aurora St Lukes Medical Center,402,2900 W Oklahoma Ave,Milwaukee,WI,Warning Notice,2021-05
Aurora St Lukes Medical Center,402,2900 W Oklahoma Ave,Milwaukee,WI,Closure Notice,2021-10
Avera Heart Hospital,422,4500 West 69th Street,Sioux Falls,SD,Warning Notice,2022-12
Avera Heart Hospital,422,4500 West 69th Street,Sioux Falls,SD,Closure Notice,2023-04
Avera Mckennan Hospital & University Health Center,425,1325 S Cliff Ave,Sioux Falls,SD,Warning Notice,2021-05
Avera Mckennan Hospital & University Health Center,425,1325 S Cliff Ave,Sioux Falls,SD,CAP Request,2021-10
Avera Mckennan Hospital & University Health Center,425,1325 S Cliff Ave,Sioux Falls,SD,Closure Notice,2021-12
Avera Missouri River Health Center,419,606 East Garfield Avenue,Gettysburg,SD,Met Requirements,2023-04
Avera Sacred Heart Hospital,427,501 Summit Street,Yankton,SD,Warning Notice,2022-12
Avera Sacred Heart Hospital,427,501 Summit Street,Yankton,SD,Closure Notice,2023-04
Avera Saint Luke's Hospital,429,305 South State Street,Aberdeen,SD,Warning Notice,2022-12
Avera Saint Luke's Hospital,429,305 South State Street,Aberdeen,SD,CAP Request,2023-04
Avera Saint Luke's Hospital,429,305 South State Street,Aberdeen,SD,Closure Notice,2023-06
AdventHealth Avista,1085,100 Health Park Drive,Louisville,CO,Met Requirements,2023-04
Bakersfield Memorial Hospital,441,420 - 34th Street,Bakersfield,CA,Met Requirements,2022-12
Banner - University Medical Center Phoenix,447,1111 East Mcdowell Road,Phoenix,AZ,Warning Notice,2023-05
Banner - University Medical Center Phoenix,447,1111 East Mcdowell Road,Phoenix,AZ,Closure Notice,2023-09
Banner Baywood Medical Center,448,6644 E. Baywood Ave.,Mesa,AZ,Met Requirements,2023-11
Banner Casa Grande Medical Center,451,1800 East Florence Boulevard,Casa Grande,AZ,Met Requirements,2023-12
Banner Churchill Community Hospital,452,801 East Williams Avenue,Fallon,NV,Warning Notice,2023-05
Banner Churchill Community Hospital,452,801 East Williams Avenue,Fallon,NV,Closure Notice,2023-08
Banner Gateway Medical Center,457,1900 N. Higley Rd.,Gilbert,AZ,Warning Notice,2023-06
Banner Gateway Medical Center,457,1900 N. Higley Rd.,Gilbert,AZ,Closure Notice,2023-09
Banner McKee Medical Center,3743,2000 Boise Ave,Loveland,CO,Met Requirements,2023-11
Banner North Colorado Medical Center,4435,1801 16th Street,Greeley,CO,Met Requirements,2023-11
Banner Thunderbird Medical Center,465,5555 W. Thunderbird Rd.,Glendale,AZ,Warning Notice,2023-05
Banner Thunderbird Medical Center,465,5555 W. Thunderbird Rd.,Glendale,AZ,Closure Notice,2023-09
Banner Wyoming Medical Center,7576,1233 East 2nd Street,Casper,WY,Warning Notice,2023-06
Banner Wyoming Medical Center,7576,1233 East 2nd Street,Casper,WY,CAP Request,2023-10
Banner Wyoming Medical Center,7576,1233 East 2nd Street,Casper,WY,Closure Notice,2023-12
Baptist Beaumont Hospital - Orange,528,608 Strickland Drive,Orange,TX,Warning Notice,2023-04
Baptist Beaumont Hospital - Orange,528,608 Strickland Drive,Orange,TX,Closure Notice,2023-08
Baptist Health Corbin,477,1 Trillium Way,Corbin,KY,Met Requirements,2023-04
"Baptist Health Extended Care Hospital-Little Rock, Inc.",478,9601 Baptist Health Drive,Little Rock,AR,Warning Notice,2021-05
"Baptist Health Extended Care Hospital-Little Rock, Inc.",478,9601 Baptist Health Drive,Little Rock,AR,CAP Request,2021-10
"Baptist Health Extended Care Hospital-Little Rock, Inc.",478,9601 Baptist Health Drive,Little Rock,AR,Closure Notice,2022-02
Baptist Health Floyd,479,1850 State Street,New Albany,IN,Met Requirements,2023-04
Baptist Health Hardin,2488,913 North Dixie Avenue,Elizabethtown,KY,Warning Notice,2023-04
Baptist Health Hardin,2488,913 North Dixie Avenue,Elizabethtown,KY,CAP Request,2023-07
Baptist Health Hardin,2488,913 North Dixie Avenue,Elizabethtown,KY,Closure Notice,2023-09
Baptist Health La Grange,480,1025 New Moody Lane,La Grange,KY,Met Requirements,2023-04
Baptist Health Lexington,481,1740 Nicholasville Road,Lexington,KY,Met Requirements,2023-04
Baptist Health Louisville,482,4000 Kresge Way,Louisville,KY,Met Requirements,2022-12
Baptist Health Louisville,482,4000 Kresge Way,Louisville,KY,Met Requirements,2023-04
Baptist Health Paducah,493,2501 Kentucky Avenue,Paducah,KY,Met Requirements,2023-04
Baptist Health Richmond,495,801 Eastern Bypass,Richmond,KY,Warning Notice,2021-06
